,sound,condition,response
0,18,b,a rose bush has prickly thorns
1,17,b,we should have considered the juice
2,n-1,b,the bomb exploded with a blast
3,n-2,b,mary could not discuss the tax
4,10,b,they marched to the beat of the drum
5,n-28,b,the old man thinks about the mast
6,n-20,b,the soup was served in a bowl
7,n-22,b,the sailor swabbed the deck
8,13,b,ruth hopes he heard about the hips
9,2,b,this nozzle sprays a fine mist
10,n-26,b,the bomb exploded with a blast
11,n-32,b,you were considering the game
12,n-18,b,the rose bush has prickly thorns
13,9,b,the cop wore a bullet proof vest
14,16,b,after his bath he wore a robe
15,12,b,bob could have known about the squeal
16,n-23,b,jane has a problem with the coin
17,n-21,b,bill might discuss the firs
18,6,b,lubricate the bike with grease
19,n-29,b,bill heard tom called about the coach
20,n-27,b,the farmer harvested his crops
21,n-25,b,tom is talking about the fee
22,8,b,nancy had considered the sleeves
23,n-19,b,they have a problem with the linen
24,n-30,b,tom could not discuss the bark
25,4,b,mary could not discuss the tack
26,7,b,nancy could consider the fist
27,n-17,b,anne was interested with the breath
28,11,b,we should have considered the proof
29,5,b,the fruit was shipped in wooden crates
30,3,b,i can't guess so give me a hint
31,n-24,b,ruth poured the water down the drain
32,15,b,i'd spoken about the pile
33,1,b,the boy gave the football a kick
34,n-31,b,no one was injured in the crash
35,14,b,tom will discuss the swan
36,17,b,the bomb explored with blast
37,18,b,Marry could not discuss the tax
38,n-1,b,
39,n-2,b,we should consider the juice
40,1,b,a lord pushes 
41,2,b,we should consider the juice
42,3,b,the fruit was shipped
43,4,b,bob could know about the spoon 
44,5,b,the roof coat down with rain
45,6,b,a boy ate a football cake
46,7,b,Will my discuss the phone
47,8,b,the coke bottle proof about guest
48,9,b,Tom could not discuss the bomb
49,10,b,You are considering the game
50,11,b,
51,12,b,Nancy should consider the guest
52,13,b,"I can't guess, so give me a hint"
53,14,b,a soup was served with bowl
54,15,b,I spoke about the tile
55,16,b,Jane has a problem with a coin
56,n-17,b,the bomb explored with blast
57,n-18,b,Marry could not discuss the tax
58,n-19,b,They have a problem with a lin
59,n-20,b,Nancy has considered the sleeve 
60,n-21,b,     bike with 
61,n-22,b,the farmer harvested his crop
62,n-23,b,they'll have    about couch
63,n-24,b,they marched with the beat of drum
64,n-25,b,No one is    the clash
65,n-26,b,the old man thinks about the mask
66,n-27,b,the sailor swop the deck
67,n-28,b,Tom will discuss the swan 
68,n-29,b,I'm interested in the blest
69,n-30,b,this      about the   
70,n-31,b,roof      heap about the 
71,n-32,b,Tom is talking about the fee
72,17,b,A bomb is exploding for the blast
73,18,b,A rose bush has pricky thorns
74,n-1,b,Mary could not discuss the tag
75,n-2,b,We should have considered the juice
