,sound,condition,response
0,18,b,a rose bush has prickly thorns
1,17,b,we should have considered the juice
4,10,b,they marched to the beat of the drum
8,13,b,ruth hopes he heard about the hips
9,2,b,this nozzle sprays a fine mist
13,9,b,the cop wore a bullet proof vest
14,16,b,after his bath he wore a robe
15,12,b,bob could have known about the squeal
18,6,b,lubricate the bike with grease
22,8,b,nancy had considered the sleeves
25,4,b,mary could not discuss the tack
26,7,b,nancy could consider the fist
28,11,b,we should have considered the proof
29,5,b,the fruit was shipped in wooden crates
30,3,b,i can't guess so give me a hint
32,15,b,i'd spoken about the pile
33,1,b,the boy gave the football a kick
35,14,b,tom will discuss the swan
36,17,b,the bomb explored with blast
37,18,b,Marry could not discuss the tax
40,1,b,a lord pushes 
41,2,b,we should consider the juice
42,3,b,the fruit was shipped
43,4,b,bob could know about the spoon 
44,5,b,the roof coat down with rain
45,6,b,a boy ate a football cake
46,7,b,Will my discuss the phone
47,8,b,the coke bottle proof about guest
48,9,b,Tom could not discuss the bomb
49,10,b,You are considering the game
50,11,b,
51,12,b,Nancy should consider the guest
52,13,b,"I can't guess, so give me a hint"
53,14,b,a soup was served with bowl
54,15,b,I spoke about the tile
55,16,b,Jane has a problem with a coin
72,17,b,A bomb is exploding for the blast
73,18,b,A rose bush has pricky thorns
76,1,b,You are considering the gag
77,2,b,We should have considered the juice
78,3,b,No one was injured in the crash
79,4,b,The sailor swabbed the deck
80,5,b,Nancy had considered the sleeves
81,6,b,The bomb exploded with a blast
82,7,b,Tom could not discuss the bark
83,8,b,After his bath he wore a robe
84,9,b,I have spoken about the pile
85,10,b,Bill heard Tom call about the coach
86,11,b,Jame has a problem with a coin
87,12,b,The rose bush has prickly thorns
88,13,b,This nozzle sprays a fine mist
89,14,b,Bill might discuss the fern
90,15,b,They have a problem with the limb
91,16,b,The old man thinks about the mast
109,17,b,We should have considered the juice
110,18,b,Mary could not discuss the tag
113,6,b,Tom could not discuss the bar
115,10,b,The sailor swapped the deck
116,2,b,"I can't guess, so give me a hint"
117,5,b,After his bath he wore a robe
118,14,b,The rosebush has pricky thorns
120,7,b,Lubricate the bike with grease
124,13,b,Mary could not discuss the tag
126,3,b,We should have considered the juice
127,16,b,The bomb exploded with a blast
128,4,b,You were considering the gang
129,1,b,Bill might discuss the firm
130,12,b,Jane has a problem with the coins
132,15,b,Bill had Tom called about the coach
139,8,b,Anne was interested in the breath
142,9,b,The cop wore a bulletproof vest
143,11,b,The old man thinks about the must
144,18,b,we should have considered the jews
146,17,b,a rose bush has prickly thorns
149,4,b,mary could not discuss the tac
150,14,b,tom is talking about the fee
152,11,b,they have a problem with the lem
157,13,b,nancy should consider the fish
159,6,b,tom will discuss the svane(på engelsk) <3. swarn. det forkert stavet
160,3,b,the farmer harvested his crop
161,9,b,the boy gave the football a kick
162,1,b,I have spoken about the pile
163,8,b,the old man thinks about the mast
164,10,b,the bomb exploded with a blast
169,7,b,I cant guess so give me a hint
170,2,b,the cop wore a bulletproof west
174,16,b,will might discuss defoe
175,12,b,the sailor swapped the deck
177,5,b,the food was shipped in wooden crates
178,15,b,Ann was interested in the breath
