sender,sender_type,sender_id,timestamp,meta,correct,correctResponse,duration,ended_on,hue,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word
Welcome,canvas.Screen,0,2023-10-12T13:34:25.852Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/118.0"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-DK"",""timeZone"":""CET"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1200,""scroll_width"":1920,""scroll_height"":1039,""window_innerWidth"":1920,""window_innerHeight"":1087,""devicePixelRatio"":1}",,,33831.34,response,,key,keypress,33972,33963,114.98,109,131.66,33974.12,{},
Fixation cross,canvas.Screen,1_0_0,2023-10-12T13:34:26.341Z,,,,502.3999999999942,timeout,green,,,34461,34459.82,33973.92,33975,33974.12,34476.52,,red
Stimulus,canvas.Screen,1_0_1,2023-10-12T13:35:01.172Z,,true,green,34807.48,response,green,green,keypress(g),69292,69284,34459.82,34464,34476.52,69294.5,,red
Inter stimulus interval,canvas.Screen,1_0_2,2023-10-12T13:35:02.153Z,,,,994.7200000000012,timeout,green,,,70273,70272.54,69294.32,69299,69294.5,70289.22,,red
Trial,flow.Sequence,1_0,2023-10-12T13:35:02.154Z,,,,36298.41999999999,completion,green,,,70274,70272.54,33973.92,33975,33974.12,70289.22,,red
Fixation cross,canvas.Screen,1_1_0,2023-10-12T13:35:02.653Z,,,,500.41999999999825,timeout,green,,,70773,70772.96,70272.54,70274,70289.22,70789.64,,orange
Stimulus,canvas.Screen,1_1_1,2023-10-12T13:38:47.652Z,,true,green,224973.36,response,green,green,keypress(g),295771,295763,70772.96,70774,70789.64,295771.96,,orange
Inter stimulus interval,canvas.Screen,1_1_2,2023-10-12T13:38:48.641Z,,,,1002.1999999999534,timeout,green,,,296759,296758.46,295771.76,295774,295771.96,296774.16,,orange
Trial,flow.Sequence,1_1,2023-10-12T13:38:48.645Z,,,,226469.24000000002,completion,green,,,296764,296758.46,70272.54,70274,70289.22,296774.16,,orange
Fixation cross,canvas.Screen,1_2_0,2023-10-12T13:38:49.142Z,,,,501.4000000000233,timeout,red,,,297261,297258.86,296758.46,296764,296774.16,297275.56,,red
Stimulus,canvas.Screen,1_2_1,2023-10-12T13:38:50.342Z,,true,red,1179.4400000000023,response,red,red,keypress(r),298460,298455,297258.86,297264,297275.56,298461.6,,red
Inter stimulus interval,canvas.Screen,1_2_2,2023-10-12T13:38:51.331Z,,,,999.0800000000163,timeout,red,,,299450,299444,298461.42,298463,298461.6,299460.68,,red
Trial,flow.Sequence,1_2,2023-10-12T13:38:51.337Z,,,,2669.8400000000256,completion,red,,,299455,299444,296758.46,296764,296774.16,299460.68,,red
Loop,flow.Loop,1,2023-10-12T13:38:51.337Z,,,,265469.88,completion,,,,299455,299444,33973.92,33975,33974.12,299460.68,,
Thank you,canvas.Screen,2,2023-10-12T13:38:52.459Z,,,,1111.320000000007,response,,key,keypress,300578,300572,299444,299455,299460.68,300579.24,,
root,flow.Sequence,,2023-10-12T13:38:52.462Z,,,,300440.34,completion,,,,300580,300572,114.98,109,131.66,300579.24,,
